   166.80	   681.78	ADCVREF
   165.18	   188.18	ePaper
   165.18	   214.47	Audio
   165.18	   240.29	SD Card
   165.18	   268.90	RTC
   165.18	   291.00	KEY & LED
   165.18	   316.58	QMI8658A
   165.18	   345.19	Power
   165.18	   369.39	OTS
   165.18	   428.00	GP0
   165.18	   443.36	ESP_BOOT
   165.18	   544.54	VCC3V3
   165.18	   629.44	2
   165.18	   701.09	14
   163.55	   565.48	R43
   163.55	   636.19	MCLK
   163.55	   667.13	M
   163.55	   681.78	DACVREF
   161.69	   159.11	IO Expander
   161.69	   502.90	TP9
   161.69	   629.44	3
   161.69	   701.09	13
   161.69	   751.10	C711uFOUTN
   160.07	    56.76	U7
   160.07	    70.71	ESP32-S3-WROOM-1-N16R8
   160.07	   428.00	GP1
   160.07	   443.36	PWR_OUT
   160.07	   636.19	PVDD
   160.07	   687.60	OUTN
   158.44	   162.59	GP4
   158.44	   290.07	Button_Up
   158.44	   629.44	4
   158.44	   701.09	12
   158.44	   751.10	C721uFOUTP
   156.59	   565.48	0R
   156.59	   636.19	DVDD
   156.59	   660.38	L
   156.59	   688.06	OUTP
   154.96	   162.59	GP5
   154.96	   286.81	Button_Function
   154.96	   629.44	5
   154.96	   660.38	C
   154.96	   701.09	11
   154.96	   725.75	0R
   153.33	   636.19	DGND
   153.33	   687.60	AVDD
   152.87	   660.38	S
   151.48	   162.59	GP6
   151.48	   288.44	Button_Down
   151.48	   575.94	C81C82
   151.48	   660.38	_
   151.48	   737.61	C83C84
   149.85	   717.14	R44
   148.22	   162.59	GP7
   148.22	   660.38	IC
   148.22	   710.39	C85Audio_VCC
   147.99	   239.12	SD_D1
   147.99	   734.82	2
   147.99	   745.05	2
   145.90	   734.82	2
   145.90	   745.05	2
   144.74	   162.59	GP15
   144.74	   239.12	SD_MISO
   144.74	   575.94	100nF100nF
   144.74	   660.38	MT
   144.04	   707.60	1
   144.04	   734.82	p
   144.04	   745.05	p
   142.42	   660.38	/DU
   142.42	   707.60	u
   142.42	   734.82	F
   142.42	   745.05	F
   141.26	   162.59	GP16
   141.26	   239.12	SD_CLK
